Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,100,1639,4453429,27305071,4116,5887
8,100,1660,4545040,27549775,4018,5985
8,100,1703,4704611,27873609,3934,6068
8,100,1709,4808622,27635626,4026,5975
8,100,1685,4686577,27706646,4025,5976
8,100,1766,4854400,27569585,4058,5943
8,100,1641,4619582,27619570,4039,5964
8,100,1566,4292292,27557391,4069,5932
8,100,1595,4414436,27697920,3976,6025
8,100,1617,4555526,27682581,4018,5983
8,100,1530,4091066,27787312,3916,6086
8,100,1586,4348586,27660574,4036,5966
8,100,1615,4456977,27576655,4047,5954
8,100,1544,4186926,27619710,4015,5988
8,100,1620,4437857,27562806,4054,5948
8,100,1599,4430401,27550566,4012,5989
8,100,1623,4449316,27470019,4049,5952
8,100,1607,4468716,27725606,4027,5974
8,100,1589,4355958,27771890,3983,6018
8,100,1636,4576368,27760385,3986,6015
8,100,1591,4337641,27766879,3983,6019
8,100,1577,4326253,27688256,4007,5994
8,100,1573,4239843,27474879,4056,5945
8,100,1683,4772577,27813643,3938,6063
8,100,1620,4402734,27783250,3959,6042
8,100,1647,4584845,27710233,3980,6021
8,100,1741,4773371,27637028,3990,6012
8,100,1795,4911340,27755451,3977,6025
8,100,1753,4870738,27610243,3996,6006
8,100,1830,5087884,27688622,3989,6012
8,100,1832,5078575,27622838,4008,5993
8,100,1733,4723171,27662776,4008,5993
8,100,1868,5229522,27674668,3975,6026
8,100,1776,4956865,27807013,3931,6070
8,100,1759,4871124,27828279,3907,6095
8,100,1728,4779930,27471478,4058,5944
8,100,1705,4696843,27443512,4075,5926
8,100,1695,4631221,27288783,4125,5876
8,100,1760,4869188,27777174,3958,6043
8,100,1755,4919454,27513405,4061,5940
8,100,1737,4786709,27783631,3989,6013
8,100,1795,5106536,27800004,3945,6056
8,100,1762,4872458,27641012,4003,5998
8,100,1643,4482683,27759962,3921,6081
8,100,1742,4843628,27765947,3975,6026
8,100,1685,4600564,27703468,3964,6037
8,100,1662,4461343,27653617,4003,5998
8,100,1747,4823150,27898215,3928,6073
8,100,1679,4597935,27577178,4023,5978
8,100,1672,4551433,27621531,4010,5991
8,100,1677,4510843,27559045,4034,5967
8,100,1784,5032188,27666314,3971,6030
8,100,1641,4619582,27619570,4039,5964
8,100,1566,4292292,27557391,4069,5932
8,100,1595,4414436,27697920,3976,6025
8,100,1617,4555526,27682581,4018,5983
8,100,1530,4091066,27787312,3916,6086
8,100,1586,4348586,27660574,4036,5966
8,100,1615,4456977,27576655,4047,5954
8,100,1544,4186926,27619710,4015,5988
8,100,1620,4437857,27562806,4054,5948
8,100,1599,4430401,27550566,4012,5989
8,100,1623,4449316,27470019,4049,5952
8,100,1607,4468716,27725606,4027,5974
8,100,1589,4355958,27771890,3983,6018
8,100,1636,4576368,27760385,3986,6015
8,100,1591,4337641,27766879,3983,6019
8,100,1577,4326253,27688256,4007,5994
8,100,1573,4239843,27474879,4056,5945
8,100,1683,4772577,27813643,3938,6063
8,100,1620,4402734,27783250,3959,6042
8,100,1647,4584845,27710233,3980,6021
8,100,1741,4773371,27637028,3990,6012
8,100,1795,4911340,27755451,3977,6025
8,100,1753,4870738,27610243,3996,6006
8,100,1830,5087884,27688622,3989,6012
8,100,1832,5078575,27622838,4008,5993
8,100,1733,4723171,27662776,4008,5993
8,100,1868,5229522,27674668,3975,6026
8,100,1776,4956865,27807013,3931,6070
8,100,1759,4871124,27828279,3907,6095
8,100,1728,4779930,27471478,4058,5944
8,100,1705,4696843,27443512,4075,5926
8,100,1695,4631221,27288783,4125,5876
8,100,1760,4869188,27777174,3958,6043
8,100,1755,4919454,27513405,4061,5940
8,100,1737,4786709,27783631,3989,6013
8,100,1795,5106536,27800004,3945,6056
8,100,1762,4872458,27641012,4003,5998
8,100,1643,4482683,27759962,3921,6081
8,100,1742,4843628,27765947,3975,6026
8,100,1685,4600564,27703468,3964,6037
8,100,1662,4461343,27653617,4003,5998
8,100,1747,4823150,27898215,3928,6073
8,100,1679,4597935,27577178,4023,5978
8,100,1672,4551433,27621531,4010,5991
8,100,1677,4510843,27559045,4034,5967
8,100,1677,4614795,27592132,4034,5967
8,100,1696,4633695,27551991,4036,5965
8,100,1745,4929285,27746297,3982,6020
8,100,1672,4618040,27562867,4055,5948
8,100,1719,4752443,27833757,3966,6036
8,100,1690,4645331,27665407,4001,6000
8,100,1663,4581187,27661546,4010,5992
8,100,1713,4745277,27757427,4026,5975
8,100,1630,4473365,27775143,3960,6042
8,100,1689,4705225,27674609,4054,5948
8,100,1681,4694985,27784386,3982,6019
8,100,1641,4619582,27619570,4039,5964
8,100,1566,4292292,27557391,4069,5932
8,100,1595,4414436,27697920,3976,6025
8,100,1617,4555526,27682581,4018,5983
8,100,1530,4091066,27787312,3916,6086
8,100,1586,4348586,27660574,4036,5966
8,100,1615,4456977,27576655,4047,5954
8,100,1544,4186926,27619710,4015,5988
8,100,1620,4437857,27562806,4054,5948
8,100,1599,4430401,27550566,4012,5989
8,100,1623,4449316,27470019,4049,5952
8,100,1607,4468716,27725606,4027,5974
8,100,1589,4355958,27771890,3983,6018
8,100,1636,4576368,27760385,3986,6015
8,100,1591,4337641,27766879,3983,6019
8,100,1577,4326253,27688256,4007,5994
8,100,1573,4239843,27474879,4056,5945
8,100,1683,4772577,27813643,3938,6063
8,100,1620,4402734,27783250,3959,6042
8,100,1647,4584845,27710233,3980,6021
8,100,1741,4773371,27637028,3990,6012
8,100,1795,4911340,27755451,3977,6025
8,100,1753,4870738,27610243,3996,6006
8,100,1830,5087884,27688622,3989,6012
8,100,1832,5078575,27622838,4008,5993
8,100,1733,4723171,27662776,4008,5993
8,100,1868,5229522,27674668,3975,6026
8,100,1776,4956865,27807013,3931,6070
8,100,1759,4871124,27828279,3907,6095
8,100,1728,4779930,27471478,4058,5944
8,100,1705,4696843,27443512,4075,5926
8,100,1695,4631221,27288783,4125,5876
8,100,1760,4869188,27777174,3958,6043
8,100,1755,4919454,27513405,4061,5940
8,100,1737,4786709,27783631,3989,6013
8,100,1795,5106536,27800004,3945,6056
8,100,1762,4872458,27641012,4003,5998
8,100,1643,4482683,27759962,3921,6081
8,100,1742,4843628,27765947,3975,6026
8,100,1685,4600564,27703468,3964,6037
8,100,1662,4461343,27653617,4003,5998
8,100,1747,4823150,27898215,3928,6073
8,100,1679,4597935,27577178,4023,5978
8,100,1641,4619582,27619570,4039,5964
8,100,1566,4292292,27557391,4069,5932
8,100,1595,4414436,27697920,3976,6025
8,100,1617,4555526,27682581,4018,5983
8,100,1530,4091066,27787312,3916,6086
8,100,1586,4348586,27660574,4036,5966
8,100,1615,4456977,27576655,4047,5954
8,100,1544,4186926,27619710,4015,5988
8,100,1620,4437857,27562806,4054,5948
8,100,1599,4430401,27550566,4012,5989
8,100,1623,4449316,27470019,4049,5952
8,100,1607,4468716,27725606,4027,5974
8,100,1589,4355958,27771890,3983,6018
8,100,1636,4576368,27760385,3986,6015
8,100,1591,4337641,27766879,3983,6019
8,100,1577,4326253,27688256,4007,5994
8,100,1573,4239843,27474879,4056,5945
8,100,1683,4772577,27813643,3938,6063
8,100,1620,4402734,27783250,3959,6042
8,100,1647,4584845,27710233,3980,6021
8,100,1741,4773371,27637028,3990,6012
8,100,1795,4911340,27755451,3977,6025
8,100,1753,4870738,27610243,3996,6006
8,100,1830,5087884,27688622,3989,6012
8,100,1832,5078575,27622838,4008,5993
8,100,1733,4723171,27662776,4008,5993
8,100,1868,5229522,27674668,3975,6026
8,100,1776,4956865,27807013,3931,6070
8,100,1759,4871124,27828279,3907,6095
8,100,1728,4779930,27471478,4058,5944
8,100,1705,4696843,27443512,4075,5926
8,100,1695,4631221,27288783,4125,5876
8,100,1760,4869188,27777174,3958,6043
8,100,1755,4919454,27513405,4061,5940
8,100,1737,4786709,27783631,3989,6013
8,100,1795,5106536,27800004,3945,6056
8,100,1762,4872458,27641012,4003,5998
8,100,1643,4482683,27759962,3921,6081
8,100,1742,4843628,27765947,3975,6026
8,100,1685,4600564,27703468,3964,6037
8,100,1662,4461343,27653617,4003,5998
8,100,1747,4823150,27898215,3928,6073
8,100,1679,4597935,27577178,4023,5978
8,100,1672,4551433,27621531,4010,5991
8,100,1677,4510843,27559045,4034,5967
8,100,1677,4614795,27592132,4034,5967
8,100,1696,4633695,27551991,4036,5965
8,100,1745,4929285,27746297,3982,6020
8,100,1672,4618040,27562867,4055,5948
8,100,1719,4752443,27833757,3966,6036
8,100,1690,4645331,27665407,4001,6000
8,100,1663,4581187,27661546,4010,5992
8,100,1713,4745277,27757427,4026,5975
8,100,1630,4473365,27775143,3960,6042
8,100,1689,4705225,27674609,4054,5948
8,100,1641,4619582,27619570,4039,5964
8,100,1566,4292292,27557391,4069,5932
8,100,1595,4414436,27697920,3976,6025
8,100,1617,4555526,27682581,4018,5983
8,100,1530,4091066,27787312,3916,6086
8,100,1586,4348586,27660574,4036,5966
8,100,1615,4456977,27576655,4047,5954
8,100,1544,4186926,27619710,4015,5988
8,100,1620,4437857,27562806,4054,5948
8,100,1599,4430401,27550566,4012,5989
8,100,1623,4449316,27470019,4049,5952
8,100,1607,4468716,27725606,4027,5974
8,100,1589,4355958,27771890,3983,6018
8,100,1636,4576368,27760385,3986,6015
8,100,1591,4337641,27766879,3983,6019
8,100,1577,4326253,27688256,4007,5994
8,100,1573,4239843,27474879,4056,5945
8,100,1683,4772577,27813643,3938,6063
8,100,1620,4402734,27783250,3959,6042
8,100,1647,4584845,27710233,3980,6021
8,100,1741,4773371,27637028,3990,6012
8,100,1795,4911340,27755451,3977,6025
8,100,1753,4870738,27610243,3996,6006
8,100,1830,5087884,27688622,3989,6012
8,100,1832,5078575,27622838,4008,5993
8,100,1733,4723171,27662776,4008,5993
8,100,1868,5229522,27674668,3975,6026
8,100,1776,4956865,27807013,3931,6070
8,100,1759,4871124,27828279,3907,6095
8,100,1728,4779930,27471478,4058,5944
8,100,1705,4696843,27443512,4075,5926
8,100,1695,4631221,27288783,4125,5876
8,100,1760,4869188,27777174,3958,6043
8,100,1755,4919454,27513405,4061,5940
8,100,1737,4786709,27783631,3989,6013
8,100,1795,5106536,27800004,3945,6056
8,100,1762,4872458,27641012,4003,5998
8,100,1643,4482683,27759962,3921,6081
8,100,1742,4843628,27765947,3975,6026
8,100,1685,4600564,27703468,3964,6037
8,100,1662,4461343,27653617,4003,5998
8,100,1747,4823150,27898215,3928,6073
8,100,1679,4597935,27577178,4023,5978
8,100,1672,4551433,27621531,4010,5991
8,100,1677,4510843,27559045,4034,5967
,,,,,,
8,100,1681.2247557003,4637046.90553746,27664415.1498371,4001.5700325733,5999.8078175896
